IIIIIIII	(-3.425678381407563+0j)
IIIIIIIZ	(1.06761118871758+0j)
IIIIIYZY	(0.018614115513804604+0j)
IIIIIXZX	(0.018614115513804604+0j)
IIIIIIZI	(-0.1958702257145427+0j)
IIIIIZII	(-0.3736941682452299+0j)
IIIIZIII	(1.0657243191568995+0j)
IIIYYIII	(0.018132400995370886+0j)
IIIXXIII	(0.018132400995370886+0j)
IIYZYIII	(0.03613643522892106+0j)
IIXZXIII	(0.03613643522892106+0j)
YZZZYIII	(0.014952177993902476+0j)
XZZZXIII	(0.014952177993902476+0j)
IIIZIIII	(-0.02868951378572865+0j)
IIYYIIII	(0.006257328950801041+0j)
IIXXIIII	(0.006257328950801041+0j)
YZZYIIII	(-0.04536968975661306+0j)
XZZXIIII	(-0.04536968975661306+0j)
IIZIIIII	(-0.22068363697319726+0j)
YZYIIIII	(0.03180270881037619+0j)
XZXIIIII	(0.03180270881037619+0j)
IZIIIIII	(-0.22496900205041165+0j)
ZIIIIIII	(-0.3574892604716644+0j)
IIIIIIZZ	(0.09654955103502387+0j)
IIIIIZIZ	(0.09416952813257436+0j)
IIIIIYIY	(-8.98165204414806e-05+0j)
IIIIIXIX	(-8.98165204414806e-05+0j)
IIIIZIIZ	(0.411351107283721+0j)
IIIIZYZY	(0.017263560301300766+0j)
IIIIZXZX	(0.017263560301300766+0j)
IIIXXIIZ	(0.04069606505875957+0j)
IIIYYIIZ	(0.04069606505875957+0j)
IIIXXYZY	(0.0027468613203170816+0j)
IIIYYYZY	(0.0027468613203170816+0j)
IIIXXXZX	(0.0027468613203170816+0j)
IIIYYXZX	(0.0027468613203170816+0j)
IIXZXIIZ	(0.03147235736412129+0j)
IIYZYIIZ	(0.03147235736412129+0j)
IIXZXYZY	(0.0022963165872994587+0j)
IIYZYYZY	(0.0022963165872994587+0j)
IIXZXXZX	(0.0022963165872994587+0j)
IIYZYXZX	(0.0022963165872994587+0j)
XZZZXIIZ	(0.017263560301300763+0j)
YZZZYIIZ	(0.017263560301300763+0j)
XZZZXYZY	(0.0017744350099502505+0j)
YZZZYYZY	(0.0017744350099502505+0j)
XZZZXXZX	(0.0017744350099502505+0j)
YZZZYXZX	(0.0017744350099502505+0j)
IIIZIIIZ	(0.11709373561826487+0j)
IIIZIYZY	(-0.0013559724194574048+0j)
