IIIIIIIII	(-4.522175082773792+0j)
IIIIIIIIZ	(1.1641607397526035+0j)
IIIIIZXXX	(-0.01852429899336312+0j)
IIIIIIYXY	(-0.01852429899336312+0j)
IIIIIIIZZ	(-0.1302857025599587+0j)
IIIIIIZZI	(-0.13872027231680406+0j)
IIIIIZZII	(-0.30940896906796383+0j)
IIIIZZIII	(1.164746576360308+0j)
IIIZXZIII	(-0.01963345259357207+0j)
IIIIXIIII	(0.01963345259357207+0j)
IIZXXZIII	(-0.03723192116049364+0j)
IIIYYIIII	(-0.03723192116049364+0j)
ZXXXXZIII	(-0.015770830458040293+0j)
IYXXYIIII	(-0.015770830458040293+0j)
IIIZZIIII	(0.046435255561746984+0j)
IIZXZIIII	(-0.006053551293557149+0j)
IIIXIIIII	(0.006053551293557149+0j)
ZXXXZIIII	(0.05110553147395507+0j)
IYXYIIIII	(0.05110553147395507+0j)
IIZZIIIII	(-0.1499960134487623+0j)
ZXXZIIIII	(-0.031904390411535165+0j)
IYYIIIIII	(-0.031904390411535165+0j)
IZZIIIIII	(-0.14673262426055955+0j)
ZZIIIIIII	(-0.2893710748621953+0j)
IIIIIIIZI	(0.09654955103502387+0j)
IIIIIIZZZ	(0.09654955103502387+0j)
IIIIIZZIZ	(0.09416952813257436+0j)
IIIIIZXYY	(-8.98165204414806e-05+0j)
IIIIIIYYX	(8.98165204414806e-05+0j)
IIIIIZYYX	(-8.98165204414806e-05+0j)
IIIIIIXYY	(8.98165204414806e-05+0j)
IIIIZZIIZ	(0.411351107283721+0j)
IIIIZIXXX	(-0.017263560301300766+0j)
IIIIZZYXY	(-0.017263560301300766+0j)
IIIIXIIIZ	(0.04069606505875957+0j)
IIIZXZIIZ	(-0.04069606505875957+0j)
IIIIXZXXX	(-0.0027468613203170816+0j)
IIIZXIXXX	(0.0027468613203170816+0j)
IIIIXIYXY	(-0.0027468613203170816+0j)
IIIZXZYXY	(0.0027468613203170816+0j)
IIIYYIIIZ	(-0.03147235736412129+0j)
IIZXXZIIZ	(-0.03147235736412129+0j)
IIIYYZXXX	(0.0022963165872994587+0j)
IIZXXIXXX	(0.0022963165872994587+0j)
IIIYYIYXY	(0.0022963165872994587+0j)
IIZXXZYXY	(0.0022963165872994587+0j)
IIYXYIZXX	(0.0024727061683852804+0j)
IZXXXZZXX	(0.0024727061683852804+0j)
IIYXYIIYY	(0.0024727061683852804+0j)
IZXXXZIYY	(0.0024727061683852804+0j)
IYXXYIIIZ	(-0.017263560301300763+0j)
ZXXXXZIIZ	(-0.017263560301300763+0j)
IYXXYZXXX	(0.0017744350099502505+0j)
ZXXXXIXXX	(0.0017744350099502505+0j)
IYXXYIYXY	(0.0017744350099502505+0j)
ZXXXXZYXY	(0.0017744350099502505+0j)
IIIZZIIIZ	(0.11709373561826487+0j)
IIIZZZXXX	(0.0013559724194574048+0j)
IIIZZIYXY	(0.0013559724194574048+0j)
IIIXIIIIZ	(-0.00048747865285744336+0j)
IIZXZIIIZ	(0.00048747865285744336+0j)
IIIXIZXXX	(0.0010282150588562184+0j)
IIZXZZXXX	(-0.0010282150588562184+0j)
IIIXIIYXY	(0.0010282150588562184+0j)
IIZXZIYXY	(-0.0010282150588562184+0j)
IIYYIIZXX	(0.002077886902662239+0j)
IZXXZIZXX	(0.002077886902662239+0j)
IIYYIIIYY	(0.002077886902662239+0j)
IZXXZIIYY	(0.002077886902662239+0j)
IYXYIIIIZ	(0.022192076423017192+0j)
ZXXXZIIIZ	(0.022192076423017192+0j)
IYXYIZXXX	(0.002102865907376235+0j)
ZXXXZZXXX	(0.002102865907376235+0j)
IYXYIIYXY	(0.002102865907376235+0j)
ZXXXZIYXY	(0.002102865907376235+0j)
IIZZIIIIZ	(0.09852311060556009+0j)
IIZZIZXXX	(-8.049171240894738e-05+0j)
IIZZIIYXY	(-8.049171240894738e-05+0j)
IIXIIIZXX	(-0.002562390289419018+0j)
IZXZIIZXX	(0.002562390289419018+0j)
IIXIIIIYY	(-0.002562390289419018+0j)
IZXZIIIYY	(0.002562390289419018+0j)
IYYIIIIIZ	(0.0052670503307629905+0j)
ZXXZIIIIZ	(0.0052670503307629905+0j)
IYYIIZXXX	(-0.00039669877175919807+0j)
ZXXZIZXXX	(-0.00039669877175919807+0j)
IYYIIIYXY	(-0.00039669877175919807+0j)
ZXXZIIYXY	(-0.00039669877175919807+0j)
IZZIIIIIZ	(0.09902225720340914+0j)
IZZIIZXXX	(-0.000818652464137814+0j)
IZZIIIYXY	(-0.000818652464137814+0j)
IXIIIIZXX	(0.0009084689845792948+0j)
ZXZIIIZXX	(-0.0009084689845792948+0j)
IXIIIIIYY	(0.0009084689845792948+0j)
ZXZIIIIYY	(-0.0009084689845792948+0j)
ZZIIIIIIZ	(0.09594396314252461+0j)
ZZIIIZXXX	(0.0025191508805794765+0j)
ZZIIIIYXY	(0.0025191508805794765+0j)
IIIIIIZIZ	(0.06558452315458402+0j)
IIIIIZZZZ	(0.06428519917726597+0j)
IIIIZZIZZ	(0.09902225720340914+0j)
IIIIXIIZZ	(0.0015010515982011943+0j)
IIIZXZIZZ	(-0.0015010515982011943+0j)
IIIYYIIZZ	(-0.0010954859315725858+0j)
IIZXXZIZZ	(-0.0010954859315725858+0j)
IYXXYIIZZ	(-0.000818652464137814+0j)
ZXXXXZIZZ	(-0.000818652464137814+0j)
IIIZZIIZZ	(0.07512476934747572+0j)
IIIXIIIZZ	(-0.00020377765724389005+0j)
IIZXZIIZZ	(0.00020377765724389005+0j)
IYXYIIIZZ	(0.0057358417173419985+0j)
ZXXXZIIZZ	(0.0057358417173419985+0j)
IIZZIIIZZ	(0.07068762352443508+0j)
IYYIIIIZZ	(-0.00010168160115899474+0j)
ZXXZIIIZZ	(-0.00010168160115899474+0j)
IZZIIIIZZ	(0.06980180803300673+0j)
ZZIIIIIZZ	(0.06811818560946906+0j)
IIIIIZIZI	(0.06428519917726597+0j)
IIIIZZZZI	(0.09902225720340914+0j)
IIIIXIZZI	(0.0015010515982011943+0j)
IIIZXZZZI	(-0.0015010515982011943+0j)
IIIYYIZZI	(-0.0010954859315725858+0j)
IIZXXZZZI	(-0.0010954859315725858+0j)
IIYXYZXZI	(-0.0009084689845792948+0j)
IZXXXIXZI	(-0.0009084689845792948+0j)
IIYXYIXII	(0.0009084689845792948+0j)
IZXXXZXII	(0.0009084689845792948+0j)
IYXXYIZZI	(-0.000818652464137814+0j)
ZXXXXZZZI	(-0.000818652464137814+0j)
IIIZZIZZI	(0.07512476934747572+0j)
IIIXIIZZI	(-0.00020377765724389005+0j)
IIZXZIZZI	(0.00020377765724389005+0j)
IIYYIZXZI	(-0.004031650984163007+0j)
IZXXZZXZI	(-0.004031650984163007+0j)
IIYYIIXII	(0.004031650984163007+0j)
IZXXZIXII	(0.004031650984163007+0j)
IYXYIIZZI	(0.0057358417173419985+0j)
ZXXXZIZZI	(0.0057358417173419985+0j)
IIZZIIZZI	(0.07068762352443508+0j)
IIXIIZXZI	(0.0030498840144274207+0j)
IZXZIZXZI	(-0.0030498840144274207+0j)
IIXIIIXII	(-0.0030498840144274207+0j)
IZXZIIXII	(0.0030498840144274207+0j)
IYYIIIZZI	(-0.00010168160115899474+0j)
ZXXZIIZZI	(-0.00010168160115899474+0j)
IZZIIIZZI	(0.07823637778985212+0j)
IXIIIZXZI	(-0.0038329864322031023+0j)
ZXZIIZXZI	(0.0038329864322031023+0j)
IXIIIIXII	(0.0038329864322031023+0j)
ZXZIIIXII	(-0.0038329864322031023+0j)
ZZIIIIZZI	(0.06811818560946906+0j)
IIIIZIZII	(0.09594396314252461+0j)
IIIIXZZII	(-0.0037160411580146532+0j)
IIIZXIZII	(0.0037160411580146532+0j)
IIIYYZZII	(-0.004030774220114265+0j)
IIZXXIZII	(-0.004030774220114265+0j)
IYXXYZZII	(0.0025191508805794765+0j)
ZXXXXIZII	(0.0025191508805794765+0j)
IIIZZZZII	(0.11484773717018444+0j)
IIIXIZZII	(0.009032982262382215+0j)
IIZXZZZII	(-0.009032982262382215+0j)
IYXYIZZII	(0.03893003074464772+0j)
ZXXXZZZII	(0.03893003074464772+0j)
IIZZIZZII	(0.06106533711451305+0j)
IYYIIZZII	(-0.009965841277409918+0j)
ZXXZIZZII	(-0.009965841277409918+0j)
IZZIIZZII	(0.06811818560946906+0j)
ZZIIIZZII	(0.10993969044870514+0j)
IIIZIZIII	(0.10917041446041441+0j)
IIZXIZIII	(-0.0029270537051583113+0j)
IIIXZZIII	(0.0029270537051583113+0j)
ZXXXIZIII	(0.01944521510270011+0j)
IYXYZZIII	(0.01944521510270011+0j)
IIZZZZIII	(0.09365833222379903+0j)
ZXXZZZIII	(0.002970733743463531+0j)
IYYIZZIII	(0.002970733743463531+0j)
IZZIZZIII	(0.09654955103502387+0j)
ZZIIZZIII	(0.09416952813257436+0j)
IIZYYZIII	(0.004791171656407628+0j)
IIIXXIIII	(0.004791171656407628+0j)
ZXXYYZIII	(0.0017809712977738894+0j)
IYXYXIIII	(-0.0017809712977738894+0j)
IIZIXZIII	(-0.004230657695327001+0j)
IIZZXIIII	(0.004230657695327001+0j)
ZXXIXZIII	(-0.0017145479009527443+0j)
IYYZXZIII	(0.0004976273313824433+0j)
ZXYIYZIII	(-0.002212175232335188+0j)
IYXIYIIII	(-0.002212175232335188+0j)
ZXXZXIIII	(-0.0004976273313824433+0j)
IYYIXIIII	(0.0017145479009527443+0j)
IZZZXZIII	(-0.0035789385008634335+0j)
IZZIXIIII	(0.0035789385008634335+0j)
ZZIZXZIII	(0.0016131752506384183+0j)
ZZIIXIIII	(-0.0016131752506384183+0j)
ZXYYXZIII	(0.0013724358788967073+0j)
IYYYYIIII	(0.0013724358788967073+0j)
IZIXXZIII	(-0.0036578762209916035+0j)
IZZYYIIII	(-0.0036578762209916035+0j)
ZZZXXZIII	(-0.003634075448355067+0j)
ZZIYYIIII	(-0.003634075448355067+0j)
ZYYXXZIII	(-8.98165204414806e-05+0j)
IXYXYIIII	(8.98165204414806e-05+0j)
IIZIZIIII	(0.05929524181655195+0j)
ZXXIZIIII	(-0.004907478795103232+0j)
